pMonth,pWeek,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pMonthly_Network_Cost,pHP_Month,pAC_Month
1,1,79,0.10289,0,0.05,0,0,0.761138161,0.107280194,0,-2,20,0.51445,0.51445,0,0,0,0,,,
1,1,80,0.06291,0,0.05,0,0,1.05426809,0.232245258,0,-2,20,0.31455,0.31455,0,0,0,0,,,
1,1,81,0.16058,0,0.05,0,0,1.025724443,0.340959516,0,-2,17,0.8029,0.8029,0,0,0,0,,,
1,1,82,0.24153,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,1.20765,1.20765,0,0,0,0,,,
1,1,83,0.19051,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,0.95255,0.95255,0,0,0,0,,,
1,1,84,0.42134,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,2.1067,2.1067,0,0,0,0,,,
1,1,85,0.11343,0,0.05,0,0,0.847889702,0.510755903,0,0,17,0.56715,0.56715,0,0,0,0,,,
1,1,86,0.11089,0,0.05,0,0,0.825919768,0.49442371,0,0,17,0.55445,0.55445,0,0,0,0,,,
1,1,87,0.05594,0,0.05,0,0,0.828777896,0.385888935,0,-1,17,0.2797,0.2797,0,0,0,0,,,
1,1,88,0.04886,0,0.05,0,0,0.899129955,0.307433548,0,-1,17,0.2443,0.2443,0,0,0,0,,,
1,1,89,0.13117,0,0.05,0,0,1.155948151,0.194586258,0,-1,20,0.65585,0.65585,0,0,0,0,,,
1,1,90,0.14525,0,0.05,0,0,1.6300657,0.087847871,0,-1,20,0.72625,0.72625,0,0,0,0,,,
1,1,91,0.14887,0,0.05,0,0,1.929091883,0.01736629,0,-1,20,0.74435,0.74435,0,0,0,0,,,
1,1,92,0.11741,0,0.05,0,0,1.920909364,0,0,-1,20,0.58705,0.58705,0,0,0,0,,,
1,1,93,0.13441,0,0.05,0,0,1.771053202,0,0,-1.1,20,0.67205,0.67205,0,0,0,0,,,
1,1,94,0.10296,0,0.05,0,0,1.605316809,0,0,-1,18,0.5148,0.5148,0,0,0,0,,,
1,1,95,0.088,0,0.05,0,0,1.293373742,0,0,-1,18,0.44,0.44,0,0,0,0,,,
1,1,96,0.0847,0,0.05,0,0,0.985602467,0,0,-1,18,0.4235,0.4235,0,0,0,0,,,
1,2,97,0.11328,0,0.05,0,0,0.679603538,0,0,-1,18,0.5664,0.5664,0,0,0,0,,,
1,2,98,0.05284,0,0.05,0,0,0.55528963,0,0,-2,18,0.2642,0.2642,0,0,0,0,,,
1,2,99,0.09757,0,0.05,0,0,0.50723171,0,0,-2,18,0.48785,0.48785,0,0,0,0,,,
1,2,100,0.09422,0,0.05,0,0,0.494926073,0,0,-3,18,0.4711,0.4711,0,0,0,0,,,
1,2,101,0.10364,0,0.05,0,0,0.491704696,0.00000761,0,-2,20,0.5182,0.5182,0,0,0,0,,,
1,2,102,0.07573,0,0.05,0,0,0.545170476,0.027888613,0,-3,20,0.37865,0.37865,0,0,0,0,,,
1,2,103,0.06204,0,0.05,0,0,0.761138161,0.107280194,0,-5,20,0.3102,0.3102,0,0,0,0,,,
1,2,104,0.08442,0,0.05,0,0,1.05426809,0.232245258,0,-4,20,0.4221,0.4221,0,0,0,0,,,
1,2,105,0.08388,0,0.05,0,0,1.025724443,0.340959516,0,-2,17,0.4194,0.4194,0,0,0,0,,,
1,2,106,0.13873,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,0.69365,0.69365,0,0,0,0,,,
1,2,107,0.08523,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,0.42615,0.42615,0,0,0,0,,,
1,2,108,0.12176,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,0.6088,0.6088,0,0,0,0,,,
1,2,109,0.1294,0,0.05,0,0,0.847889702,0.510755903,0,-1,17,0.647,0.647,0,0,0,0,,,
1,2,110,0.11231,0,0.05,0,0,0.825919768,0.49442371,0,-1,17,0.56155,0.56155,0,0,0,0,,,
1,2,111,0.09151,0,0.05,0,0,0.828777896,0.385888935,0,0,17,0.45755,0.45755,0,0,0,0,,,
1,2,112,0.07763,0,0.05,0,0,0.899129955,0.307433548,0,0,17,0.38815,0.38815,0,0,0,0,,,
1,2,113,0.08247,0,0.05,0,0,1.155948151,0.194586258,0,0,20,0.41235,0.41235,0,0,0,0,,,
1,2,114,0.07178,0,0.05,0,0,1.6300657,0.087847871,0,-1,20,0.3589,0.3589,0,0,0,0,,,
1,2,115,0.09192,0,0.05,0,0,1.929091883,0.01736629,0,-1,20,0.4596,0.4596,0,0,0,0,,,
1,2,116,0.08975,0,0.05,0,0,1.920909364,0,0,-2,20,0.44875,0.44875,0,0,0,0,,,
1,2,117,0.07563,0,0.05,0,0,1.771053202,0,0,-1,20,0.37815,0.37815,0,0,0,0,,,
1,2,118,0.05149,0,0.05,0,0,1.605316809,0,0,-1,18,0.25745,0.25745,0,0,0,0,,,
1,2,119,0.0712,0,0.05,0,0,1.293373742,0,0,-1,18,0.356,0.356,0,0,0,0,,,
1,2,120,0.03066,0,0.05,0,0,0.985602467,0,0,-1,18,0.1533,0.1533,0,0,0,0,,,
1,2,121,0.01478,0,0.05,0,0,0.679603538,0,0,-1,18,0.0739,0.0739,0,0,0,0,,,
1,2,122,0.02398,0,0.05,0,0,0.55528963,0,0,-1,18,0.1199,0.1199,0,0,0,0,,,
1,2,123,0.08413,0,0.05,0,0,0.50723171,0,0,-1,18,0.42065,0.42065,0,0,0,0,,,
1,2,124,0.02063,0,0.05,0,0,0.494926073,0,0,-1,18,0.10315,0.10315,0,0,0,0,,,
