Hour,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint
506,2.75,0,0,-12,20
507,2.5,0,0,-12,20
508,2.3,0,0,-12,20
509,2.4,0.00000761,0,-13,20
510,2.6,0.027888613,0,-13,20
511,2.85,0.107280194,0,-13,20
512,3.35,0.232245258,0,-13,20
513,4,0.340959516,0,-12,20
514,3.75,0.459732129,0,-9,20
515,3.25,0.513976226,0,-9,20
516,3,0.522277516,0,-8,20
517,3,0.510755903,0,-8,20
518,3,0.49442371,0,-8,20
519,3,0.385888935,0,-8,20
520,3.175,0.307433548,0,-8,20
521,3.35,0.194586258,0,-9,20
522,3.85,0.087847871,0,-10,20
523,4.35,0.01736629,0,-11,20
524,4.55,0,0,-12,20
525,4.35,0,0,-13,20
526,3.85,0,0,-13,20
527,3.35,0,0,-14,20
528,3,0,0,-14,20
529,3,0,0,-14,20
530,2.75,0,0,-14,20
531,2.5,0,0,-14,20
532,2.3,0,0,-14,20
533,2.4,0.00000761,0,-14,20
534,2.6,0.027888613,0,-14,20
535,2.85,0.107280194,0,-14,20
536,3.35,0.232245258,0,-14,20
537,4,0.340959516,0,-13,20
538,3.75,0.459732129,0,-12,20
539,3.25,0.513976226,0,-11,20
540,3,0.522277516,0,-10,20
541,3,0.510755903,0,-9,20
542,3,0.49442371,0,-8,20
543,3,0.385888935,0,-8,20
544,3.175,0.307433548,0,-8,20
545,3.35,0.194586258,0,-9,20
546,3.85,0.087847871,0,-11,20
547,4.35,0.01736629,0,-12,20
548,4.55,0,0,-13,20
549,4.35,0,0,-13,20
550,3.85,0,0,-13,20
551,3.35,0,0,-13,20
552,3,0,0,-13,20
553,3,0,0,-13,20
554,2.75,0,0,-14,20
555,2.5,0,0,-14,20
556,2.3,0,0,-14,20
557,2.4,0.00000761,0,-14,20
558,2.6,0.027888613,0,-15,20
559,2.85,0.107280194,0,-14,20
560,3.35,0.232245258,0,-14,20
561,4,0.340959516,0,-13,20
562,3.75,0.459732129,0,-10,20
563,3.25,0.513976226,0,-8,20
564,3,0.522277516,0,-7,20
565,3,0.510755903,0,-5,20
566,3,0.49442371,0,-4,20
567,3,0.385888935,0,-4,20
568,3.175,0.307433548,0,-4,20
569,3.35,0.194586258,0,-5,20
570,3.85,0.087847871,0,-6,20
571,4.35,0.01736629,0,-6,20
572,4.55,0,0,-6,20
573,4.35,0,0,-7,20
574,3.85,0,0,-7,20
575,3.35,0,0,-7,20
576,3,0,0,-7,20
577,3,0,0,-8,20
578,2.75,0,0,-8,20
579,2.5,0,0,-9,20
580,2.3,0,0,-9,20
581,2.4,0.00000761,0,-9,20
582,2.6,0.027888613,0,-9,20
583,2.85,0.107280194,0,-8,20
584,3.35,0.232245258,0,-8,20
585,4,0.340959516,0,-7,20
586,3.75,0.459732129,0,-7,20
587,3.25,0.513976226,0,-6,20
588,3,0.522277516,0,-4,20
589,3,0.510755903,0,-3,20
590,3,0.49442371,0,-2,20
591,3,0.385888935,0,-3,20
592,3.175,0.307433548,0,-2,20
593,3.35,0.194586258,0,-2,20
594,3.85,0.087847871,0,-3,20
595,4.35,0.01736629,0,-3,20
596,4.55,0,0,-3,20
597,4.35,0,0,-3.1,20
598,3.85,0,0,-3.1,20
599,3.35,0,0,-3,20
600,3,0,0,-4,20
601,3,0,0,-4,20
602,2.75,0,0,-5,20
603,2.5,0,0,-5,20
604,2.3,0,0,-5,20
605,2.4,0.00000761,0,-5,20
606,2.6,0.027888613,0,-4,20
607,2.85,0.107280194,0,-4,20
608,3.35,0.232245258,0,-3,20
609,4,0.340959516,0,-3,20
610,3.75,0.459732129,0,-3,20
611,3.25,0.513976226,0,-2,20
612,3,0.522277516,0,-2,20
613,3,0.510755903,0,-1.5,20
614,3,0.49442371,0,-1,20
615,3,0.385888935,0,-1,20
616,3.175,0.307433548,0,-2,20
617,3.35,0.194586258,0,-2,20
618,3.85,0.087847871,0,-2,20
619,4.35,0.01736629,0,-3,20
620,4.55,0,0,-3,20
621,4.35,0,0,-3,20
622,3.85,0,0,-4,20
623,3.35,0,0,-3,20
624,3,0,0,-3,20
625,3,0,0,-4,20
626,2.75,0,0,-6,20
627,2.5,0,0,-7,20
628,2.3,0,0,-8,20
629,2.4,0.00000761,0,-9,20
630,2.6,0.027888613,0,-10,20
631,2.85,0.107280194,0,-12,20
632,3.35,0.232245258,0,-12,20
633,4,0.340959516,0,-12,20
634,3.75,0.459732129,0,-12,20
635,3.25,0.513976226,0,-11,20
636,3,0.522277516,0,-11,20
637,3,0.510755903,0,-11,20
638,3,0.49442371,0,-10,20
639,3,0.385888935,0,-10,20
640,3.175,0.307433548,0,-10,20
641,3.35,0.194586258,0,-12,20
642,3.85,0.087847871,0,-12,20
643,4.35,0.01736629,0,-13,20
644,4.55,0,0,-13,20
645,4.35,0,0,-14,20
646,3.85,0,0,-15,20
647,3.35,0,0,-15,20
648,3,0,0,-16,20
649,3,0,0,-16.3,20
650,2.75,0,0,-16.6,20
651,2.5,0,0,-17,20
652,2.3,0,0,-17,20
653,2.4,0.00000761,0,-16,20
654,2.6,0.027888613,0,-15,20
655,2.85,0.107280194,0,-14,20
656,3.35,0.232245258,0,-14,20
657,4,0.340959516,0,-13,20
658,3.75,0.459732129,0,-12,20
659,3.25,0.513976226,0,-11,20
660,3,0.522277516,0,-9,20
661,3,0.510755903,0,-8,20
662,3,0.49442371,0,-7,20
663,3,0.385888935,0,-7,20
664,3.175,0.307433548,0,-7,20
665,3.35,0.194586258,0,-7,20
666,3.85,0.087847871,0,-7,20
667,4.35,0.01736629,0,-7,20
668,4.55,0,0,-7,20
669,4.35,0,0,-7,20
670,3.85,0,0,-7,20
671,3.35,0,0,-6,20
672,3,0,0,-6,20
673,3,0,0,-6,20
674,2.75,0,0,-6,20
675,2.5,0,0,-6,20
676,2.3,0,0,-5,20
677,2.4,0.00000761,0,-5,20
678,2.6,0.027888613,0,-5,20
679,2.85,0.107280194,0,-6,20
680,3.35,0.232245258,0,-5,20
681,4,0.340959516,0,-4,20
682,3.75,0.459732129,0,-4,20
683,3.25,0.513976226,0,-4,20
684,3,0.522277516,0,-3,20
685,3,0.510755903,0,-3,20
686,3,0.49442371,0,-2,20
687,3,0.385888935,0,-2,20
688,3.175,0.307433548,0,-1,20
689,3.35,0.194586258,0,-2,20
