pMonth,pWeek,pDay,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pWH_use,pMonthly_Network_Cost,pHP_Month,pAC_Month,,,true NYISO lmp
1,1,3,68,0.3014,0,0.05,0,0,1.920909364,0,0,-1,20,1.3069,1.3069,0,0,0,0,-1.25,,,,,,0.26138
1,1,3,69,0.2613,0,0.05,0,0,1.771053202,0,0,-1,20,1.1063,1.1063,0,0,0,0,-0.5,,,,,,0.22126
1,1,3,70,0.2816,0,0.05,0,0,1.605316809,0,0,0,18,1.20795,1.20795,0,0,0,0,0,,,,,,0.24159
1,1,3,71,0.2118,0,0.05,0,0,1.293373742,0,0,1,18,0.85915,0.85915,0,0,0,0,0,,,,,,0.17183
1,1,3,72,0.1848,0,0.05,0,0,0.985602467,0,0,1,18,0.72375,0.72375,0,0,0,0,0,,,,,,0.14475
1,1,4,73,0.1777,0,0.05,0,0,0.679603538,0,0,0,18,0.6884,0.6884,0,0,0,0,0,,,,,,0.13768
1,1,4,74,0.1858,0,0.05,0,0,0.55528963,0,0,0,18,0.729,0.729,0,0,0,0,0,,,,,,0.1458
1,1,4,75,0.1995,0,0.05,0,0,0.50723171,0,0,-1,18,0.7974,0.7974,0,0,0,0,0,,,,,,0.15948
1,1,4,76,0.1566,0,0.05,0,0,0.494926073,0,0,-1,18,0.583,0.583,0,0,0,0,0,,,,,,0.1166
1,1,4,77,0.1806,0,0.05,0,0,0.491704696,0.00000761,0,-2,20,0.70285,0.70285,0,0,0,0,0,,,,,,0.14057
1,1,4,78,0.1725,0,0.05,0,0,0.545170476,0.027888613,0,-2,20,0.6627,0.6627,0,0,0,0,0,,,,,,0.13254
1,1,4,79,0.1429,0,0.05,0,0,0.761138161,0.107280194,0,-2,20,0.51445,0.51445,0,0,0,0,-0.25,,,,,,0.10289
1,1,4,80,0.1029,0,0.05,0,0,1.05426809,0.232245258,0,-2,20,0.31455,0.31455,0,0,0,0,-0.5,,,,,,0.06291
1,1,4,81,0.2006,0,0.05,0,0,1.025724443,0.340959516,0,-2,17,0.8029,0.8029,0,0,0,0,-0.25,,,,,,0.16058
1,1,4,82,0.2815,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,1.20765,1.20765,0,0,0,0,0,,,,,,0.24153
1,1,4,83,0.2305,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,0.95255,0.95255,0,0,0,0,0,,,,,,0.19051
1,1,4,84,0.4613,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,2.1067,2.1067,0,0,0,0,0,,,,,,0.42134
1,1,4,85,0.1534,0,0.05,0,0,0.847889702,0.510755903,0,0,17,0.56715,0.56715,0,0,0,0,0,,,,,,0.11343
1,1,4,86,0.1509,0,0.05,0,0,0.825919768,0.49442371,0,0,17,0.55445,0.55445,0,0,0,0,0,,,,,,0.11089
1,1,4,87,0.0959,0,0.05,0,0,0.828777896,0.385888935,0,-1,17,0.2797,0.2797,0,0,0,0,0,,,,,,0.05594
1,1,4,88,0.0889,0,0.05,0,0,0.899129955,0.307433548,0,-1,17,0.2443,0.2443,0,0,0,0,0,,,,,,0.04886
1,1,4,89,0.1712,0,0.05,0,0,1.155948151,0.194586258,0,-1,20,0.65585,0.65585,0,0,0,0,0,,,,,,0.13117
1,1,4,90,0.1853,0,0.05,0,0,1.6300657,0.087847871,0,-1,20,0.72625,0.72625,0,0,0,0,-0.25,,,,,,0.14525
1,1,4,91,0.1889,0,0.05,0,0,1.929091883,0.01736629,0,-1,20,0.74435,0.74435,0,0,0,0,-0.75,,,,,,0.14887
1,1,4,92,0.1574,0,0.05,0,0,1.920909364,0,0,-1,20,0.58705,0.58705,0,0,0,0,-1.25,,,,,,0.11741
1,1,4,93,0.1744,0,0.05,0,0,1.771053202,0,0,-1.1,20,0.67205,0.67205,0,0,0,0,-0.5,,,,,,0.13441
1,1,4,94,0.1430,0,0.05,0,0,1.605316809,0,0,-1,18,0.5148,0.5148,0,0,0,0,0,,,,,,0.10296
1,1,4,95,0.1280,0,0.05,0,0,1.293373742,0,0,-1,18,0.44,0.44,0,0,0,0,0,,,,,,0.088
1,1,4,96,0.1247,0,0.05,0,0,0.985602467,0,0,-1,18,0.4235,0.4235,0,0,0,0,0,,,,,,0.0847
1,2,5,97,0.1533,0,0.05,0,0,0.679603538,0,0,-1,18,0.5664,0.5664,0,0,0,0,0,,,,,,0.11328
1,2,5,98,0.0928,0,0.05,0,0,0.55528963,0,0,-2,18,0.2642,0.2642,0,0,0,0,0,,,,,,0.05284
1,2,5,99,0.1376,0,0.05,0,0,0.50723171,0,0,-2,18,0.48785,0.48785,0,0,0,0,0,,,,,,0.09757
1,2,5,100,0.1342,0,0.05,0,0,0.494926073,0,0,-3,18,0.4711,0.4711,0,0,0,0,0,,,,,,0.09422
1,2,5,101,0.1436,0,0.05,0,0,0.491704696,0.00000761,0,-2,20,0.5182,0.5182,0,0,0,0,0,,,,,,0.10364
1,2,5,102,0.1157,0,0.05,0,0,0.545170476,0.027888613,0,-3,20,0.37865,0.37865,0,0,0,0,0,,,,,,0.07573
1,2,5,103,0.1020,0,0.05,0,0,0.761138161,0.107280194,0,-5,20,0.3102,0.3102,0,0,0,0,-0.25,,,,,,0.06204
1,2,5,104,0.1244,0,0.05,0,0,1.05426809,0.232245258,0,-4,20,0.4221,0.4221,0,0,0,0,-0.5,,,,,,0.08442
1,2,5,105,0.1239,0,0.05,0,0,1.025724443,0.340959516,0,-2,17,0.4194,0.4194,0,0,0,0,-0.25,,,,,,0.08388
1,2,5,106,0.1787,0,0.05,0,0,0.855001485,0.459732129,0,-1,17,0.69365,0.69365,0,0,0,0,0,,,,,,0.13873
1,2,5,107,0.1252,0,0.05,0,0,0.846771932,0.513976226,0,-1,17,0.42615,0.42615,0,0,0,0,0,,,,,,0.08523
1,2,5,108,0.1618,0,0.05,0,0,0.863123401,0.522277516,0,-1,17,0.6088,0.6088,0,0,0,0,0,,,,,,0.12176
1,2,5,109,0.1694,0,0.05,0,0,0.847889702,0.510755903,0,-1,17,0.647,0.647,0,0,0,0,0,,,,,,0.1294
